Rank;ESRB_Rating;Critic_Score;User_Score;url
81;E;6.5;0;http://www.vgchartz.com/game/6091/mario-party-8/?region=All
82;NA;NC;NS;No_URL
83;E;0;0;http://www.vgchartz.com/game/70892/fifa-soccer-13/?region=All
84;T;8.5;0;http://www.vgchartz.com/game/17805/the-sims-3/?region=All
85;T;9.8;0;http://www.vgchartz.com/game/877/goldeneye-007/?region=All
86;E;7;0;http://www.vgchartz.com/game/7708/mario-amp-sonic-at-the-olympic-games/?region=All
87;T;9;10;http://www.vgchartz.com/game/759/final-fantasy-x/?region=All
88;T;9.4;0;http://www.vgchartz.com/game/758/final-fantasy-viii/?region=All
89;NA;NC;NS;No_URL
90;NA;0;0;http://www.vgchartz.com/game/19685/pac-man/?region=All
91;M;8.8;0;http://www.vgchartz.com/game/5165/grand-theft-auto-liberty-city-stories/?region=All
92;E;9.7;9.8;http://www.vgchartz.com/game/35084/super-mario-galaxy-2/?region=All
93;T;7.1;0;http://www.vgchartz.com/game/83364/star-wars-battlefront-2015/?region=All
94;M;8.5;0;http://www.vgchartz.com/game/81797/call-of-duty-advanced-warfare/?region=All
95;E;9.9;10;http://www.vgchartz.com/game/2399/the-legend-of-zelda-ocarina-of-time/?region=All
96;E;8.6;0;http://www.vgchartz.com/game/407/crash-bandicoot-2-cortex-strikes-back/?region=All
97;NA;0;0;http://www.vgchartz.com/game/6457/super-mario-bros-2/?region=All
98;NA;NC;NS;No_URL
99;M;8.5;7.8;http://www.vgchartz.com/game/23992/call-of-duty-world-at-war/?region=All
100;M;8.5;0;http://www.vgchartz.com/game/40231/battlefield-3/?region=All
101;T;9.5;9.6;http://www.vgchartz.com/game/4573/the-legend-of-zelda-twilight-princess/?region=All
102;M;0;0;http://www.vgchartz.com/game/85359/call-of-duty-black-ops-3/?region=All
103;E10;5.4;0;http://www.vgchartz.com/game/40053/just-dance/?region=All
104;M;8.5;0;http://www.vgchartz.com/game/40231/battlefield-3/?region=All
105;E;8.6;0;http://www.vgchartz.com/game/5491/need-for-speed-underground/?region=All
106;T;9.6;0;http://www.vgchartz.com/game/2344/tekken-3/?region=All
107;E;9.3;0;http://www.vgchartz.com/game/408/crash-bandicoot-3-warped/?region=All
108;T;9.2;0;http://www.vgchartz.com/game/2291/super-smash-bros-melee/?region=All
109;E;8.8;0;http://www.vgchartz.com/game/71408/mario-kart-8/?region=All
110;M;8.6;0;http://www.vgchartz.com/game/85599/fallout-4/?region=All
111;E;8.5;0;http://www.vgchartz.com/game/1255/mario-kart-double-dash/?region=All
112;E10;0;0;http://www.vgchartz.com/game/70917/just-dance-4/?region=All
